cell,strength,method,n,bias1,bias2,rmse,raw_cov,raw_area,mciw0_area,mciw0_cov,kappa,mciw_area,mciw_cov
k40_rho0.0_p0.3,moderate,adaptshrink_dta,400,-0.0452,0.0283,0.1534,0.89,0.1885,0.1954,0.945,1.233,0.2356,0.95
k40_rho0.0_p0.3,moderate,reitsma,400,-0.0458,0.028,0.1535,0.887,0.1867,0.1966,0.945,1.278,0.2421,0.955
k40_rho0.0_p0.3,moderate,reitsma_indep,400,-0.0465,0.0278,0.1536,0.902,0.1913,0.1957,0.94,1.176,0.2283,0.945
k40_rho0.0_p0.3,moderate,reitsma_reml,400,-0.0425,0.0299,0.153,0.892,0.1922,0.1994,0.945,1.215,0.237,0.95
k40_rho0.0_p0.3,moderate,sep_univariate,400,-0.0414,0.0285,0.1532,0.912,0.1977,0.2147,0.955,1.126,0.2253,0.945
k40_rho0.0_p0.3,none,adaptshrink_dta,400,-0.1646,-0.0838,0.2352,0.63,0.1968,0.3992,0.93,2.914,0.5811,0.965
k40_rho0.0_p0.3,none,reitsma,400,-0.1652,-0.0841,0.2358,0.63,0.1955,0.4002,0.93,2.914,0.577,0.96
k40_rho0.0_p0.3,none,reitsma_indep,400,-0.1649,-0.084,0.2354,0.645,0.1991,0.392,0.92,2.813,0.5666,0.955
k40_rho0.0_p0.3,none,reitsma_reml,400,-0.1622,-0.0824,0.2332,0.642,0.2012,0.3901,0.925,2.748,0.56,0.955
k40_rho0.0_p0.3,none,sep_univariate,400,-0.1606,-0.084,0.2327,0.657,0.2045,0.3809,0.91,2.403,0.4958,0.945
k40_rho0.0_p0.3,strong,adaptshrink_dta,400,0.0895,0.1388,0.2208,0.63,0.1833,0.4401,0.98,2.505,0.4661,0.98
k40_rho0.0_p0.3,strong,reitsma,400,0.0886,0.1383,0.2203,0.615,0.1798,0.436,0.98,2.858,0.5216,0.98
k40_rho0.0_p0.3,strong,reitsma_indep,400,0.084,0.1367,0.2169,0.69,0.1861,0.4393,0.98,2.404,0.4542,0.98
k40_rho0.0_p0.3,strong,reitsma_reml,400,0.0921,0.1404,0.2231,0.62,0.1851,0.4391,0.98,2.796,0.5252,0.98
k40_rho0.0_p0.3,strong,sep_univariate,400,0.0892,0.1387,0.2204,0.7,0.1933,0.4698,0.985,2.443,0.48,0.98
k40_rho0.0_p0.5,moderate,adaptshrink_dta,400,0.0175,0.0056,0.149,0.912,0.1868,0.1761,0.895,1.172,0.2242,0.925
k40_rho0.0_p0.5,moderate,reitsma,400,0.0171,0.0052,0.1491,0.91,0.1854,0.1774,0.905,1.245,0.2363,0.93
k40_rho0.0_p0.5,moderate,reitsma_indep,400,0.0164,0.0045,0.1485,0.922,0.189,0.1762,0.9,1.131,0.2187,0.93
k40_rho0.0_p0.5,moderate,reitsma_reml,400,0.0196,0.0077,0.1496,0.912,0.1908,0.1814,0.905,1.221,0.2384,0.935
k40_rho0.0_p0.5,moderate,sep_univariate,400,0.0197,0.0071,0.1499,0.927,0.1962,0.1853,0.915,1.116,0.2238,0.93
k40_rho0.0_p0.5,none,adaptshrink_dta,400,-0.099,-0.1085,0.2066,0.748,0.1939,0.3415,0.925,1.915,0.3731,0.94
k40_rho0.0_p0.5,none,reitsma,400,-0.0995,-0.1089,0.207,0.74,0.1926,0.3403,0.925,1.97,0.3813,0.95
k40_rho0.0_p0.5,none,reitsma_indep,400,-0.0991,-0.1087,0.2068,0.762,0.1959,0.3394,0.925,1.797,0.3539,0.935
k40_rho0.0_p0.5,none,reitsma_reml,400,-0.0972,-0.1067,0.2048,0.767,0.1982,0.3346,0.925,1.874,0.3733,0.95
k40_rho0.0_p0.5,none,sep_univariate,400,-0.0972,-0.107,0.2055,0.772,0.2013,0.3352,0.925,1.828,0.3697,0.94
k40_rho0.0_p0.5,strong,adaptshrink_dta,400,0.1354,0.1287,0.2386,0.557,0.181,0.4397,0.93,2.897,0.5368,0.94
k40_rho0.0_p0.5,strong,reitsma,400,0.1348,0.128,0.238,0.54,0.1781,0.4409,0.935,3.063,0.5585,0.95
k40_rho0.0_p0.5,strong,reitsma_indep,400,0.1313,0.1254,0.234,0.623,0.1839,0.4327,0.93,2.449,0.46,0.935
k40_rho0.0_p0.5,strong,reitsma_reml,400,0.1375,0.1307,0.2411,0.535,0.1834,0.4506,0.935,3.012,0.5655,0.95
k40_rho0.0_p0.5,strong,sep_univariate,400,0.136,0.1293,0.2396,0.623,0.1929,0.4398,0.925,2.434,0.4793,0.935
k6_rho-0.4_p0.1,moderate,adaptshrink_dta,400,-0.1431,0.0342,0.4724,0.83,1.5483,1.7963,0.92,1.922,2.961,0.92
k6_rho-0.4_p0.1,moderate,reitsma,400,-0.1166,0.0363,0.4712,0.815,1.3881,1.841,0.93,2.13,2.9663,0.95
k6_rho-0.4_p0.1,moderate,reitsma_indep,400,-0.1745,0.0323,0.4809,0.797,1.4116,1.9074,0.925,2.222,3.1553,0.93
k6_rho-0.4_p0.1,moderate,reitsma_reml,400,-0.1008,0.0467,0.4676,0.85,1.5811,1.8406,0.94,1.856,2.9613,0.955
k6_rho-0.4_p0.1,moderate,sep_univariate,400,-0.1605,0.0381,0.472,0.858,1.5892,1.664,0.92,1.535,2.4397,0.905
k6_rho-0.4_p0.1,none,adaptshrink_dta,400,-0.2972,-0.0674,0.5146,0.802,1.448,2.1286,0.925,1.838,2.6247,0.91
k6_rho-0.4_p0.1,none,reitsma,400,-0.2805,-0.0663,0.5081,0.767,1.321,2.1283,0.93,2.16,2.8186,0.92
k6_rho-0.4_p0.1,none,reitsma_indep,400,-0.3219,-0.0686,0.5318,0.735,1.3435,2.2438,0.92,2.371,3.1601,0.925
k6_rho-0.4_p0.1,none,reitsma_reml,400,-0.2652,-0.0576,0.4982,0.81,1.51,2.1052,0.925,1.898,2.8405,0.92
k6_rho-0.4_p0.1,none,sep_univariate,400,-0.3032,-0.0625,0.5151,0.812,1.5509,2.2492,0.93,1.754,2.7124,0.93
k6_rho-0.4_p0.1,strong,adaptshrink_dta,400,-0.0113,0.1058,0.4607,0.848,1.5761,1.6723,0.915,1.549,2.4059,0.885
k6_rho-0.4_p0.1,strong,reitsma,400,0.0174,0.1081,0.4677,0.838,1.4083,1.6834,0.915,1.567,2.1753,0.88
k6_rho-0.4_p0.1,strong,reitsma_indep,400,-0.0505,0.1024,0.4629,0.833,1.4108,1.576,0.91,1.627,2.251,0.87
k6_rho-0.4_p0.1,strong,reitsma_reml,400,0.0334,0.1192,0.4683,0.865,1.5878,1.7392,0.915,1.422,2.227,0.89
k6_rho-0.4_p0.1,strong,sep_univariate,400,-0.0366,0.1117,0.4584,0.855,1.6063,1.5263,0.895,1.478,2.3165,0.9
k6_rho-0.4_p0.3,moderate,adaptshrink_dta,400,-0.0212,0.0471,0.4167,0.828,1.2331,1.5669,0.935,2.156,2.7584,0.94
k6_rho-0.4_p0.3,moderate,reitsma,400,-0.0066,0.0506,0.4231,0.782,1.0339,1.641,0.945,2.353,2.5287,0.945
k6_rho-0.4_p0.3,moderate,reitsma_indep,400,-0.0395,0.0424,0.4171,0.805,1.1245,1.5306,0.935,2.334,2.7173,0.94
k6_rho-0.4_p0.3,moderate,reitsma_reml,400,0.0123,0.0623,0.4248,0.82,1.2183,1.7335,0.96,2.156,2.736,0.95
k6_rho-0.4_p0.3,moderate,sep_univariate,400,-0.0154,0.0529,0.415,0.86,1.364,1.6082,0.95,2.123,2.9905,0.96
k6_rho-0.4_p0.3,none,adaptshrink_dta,400,-0.1132,-0.0696,0.4091,0.823,1.16,1.5143,0.95,1.645,1.8893,0.9
k6_rho-0.4_p0.3,none,reitsma,400,-0.1042,-0.0687,0.4081,0.765,0.9919,1.3263,0.92,2.008,1.9801,0.915
k6_rho-0.4_p0.3,none,reitsma_indep,400,-0.1283,-0.0722,0.4155,0.795,1.0943,1.6066,0.95,2.118,2.3058,0.915
k6_rho-0.4_p0.3,none,reitsma_reml,400,-0.0885,-0.0578,0.404,0.83,1.1758,1.3619,0.935,1.772,2.0649,0.91
k6_rho-0.4_p0.3,none,sep_univariate,400,-0.1071,-0.0633,0.4079,0.858,1.3158,1.4719,0.94,1.451,1.8849,0.89
k6_rho-0.4_p0.3,strong,adaptshrink_dta,400,0.0852,0.1279,0.4395,0.838,1.2426,1.8811,0.955,1.994,2.4486,0.96
k6_rho-0.4_p0.3,strong,reitsma,400,0.1011,0.131,0.4462,0.76,1.0305,2.0391,0.965,2.275,2.3364,0.95
k6_rho-0.4_p0.3,strong,reitsma_indep,400,0.0616,0.1217,0.4349,0.805,1.1103,1.9018,0.955,2.242,2.4615,0.97
k6_rho-0.4_p0.3,strong,reitsma_reml,400,0.1193,0.1433,0.4566,0.787,1.1966,2.2561,0.97,2.238,2.6955,0.96
k6_rho-0.4_p0.3,strong,sep_univariate,400,0.0893,0.1343,0.4441,0.858,1.3568,1.9856,0.95,1.929,2.6265,0.965
k6_rho-0.4_p0.5,moderate,adaptshrink_dta,400,0.0207,0.048,0.3935,0.858,1.1513,1.5599,0.95,2.002,2.3703,0.955
k6_rho-0.4_p0.5,moderate,reitsma,400,0.0271,0.0532,0.3993,0.81,0.9641,1.4721,0.94,2.273,2.2563,0.955
k6_rho-0.4_p0.5,moderate,reitsma_indep,400,0.0092,0.0394,0.3908,0.83,1.0642,1.489,0.94,2.327,2.5606,0.965
k6_rho-0.4_p0.5,moderate,reitsma_reml,400,0.0422,0.0664,0.405,0.838,1.1503,1.5916,0.95,2.228,2.6288,0.955
k6_rho-0.4_p0.5,moderate,sep_univariate,400,0.0286,0.0554,0.3967,0.873,1.3119,1.5431,0.95,1.92,2.6045,0.97
k6_rho-0.4_p0.5,none,adaptshrink_dta,400,-0.0726,-0.0867,0.3948,0.83,1.1147,1.3745,0.925,1.605,1.7881,0.915
k6_rho-0.4_p0.5,none,reitsma,400,-0.0689,-0.0844,0.3941,0.752,0.9341,1.273,0.91,2.048,1.906,0.93
k6_rho-0.4_p0.5,none,reitsma_indep,400,-0.0804,-0.0926,0.3983,0.8,1.0534,1.4138,0.925,1.888,1.9793,0.915
k6_rho-0.4_p0.5,none,reitsma_reml,400,-0.0542,-0.0705,0.391,0.828,1.1159,1.3009,0.92,1.967,2.1779,0.935
k6_rho-0.4_p0.5,none,sep_univariate,400,-0.0647,-0.0791,0.3965,0.85,1.2823,1.3963,0.925,1.434,1.8412,0.895
k6_rho-0.4_p0.5,strong,adaptshrink_dta,400,0.1027,0.1333,0.4377,0.82,1.2176,1.7176,0.93,1.651,2.1197,0.925
k6_rho-0.4_p0.5,strong,reitsma,400,0.1134,0.1398,0.4472,0.723,0.9768,1.6839,0.925,2.086,2.1145,0.935
k6_rho-0.4_p0.5,strong,reitsma_indep,400,0.0884,0.1199,0.4285,0.795,1.0866,1.7177,0.94,2.109,2.4553,0.945
k6_rho-0.4_p0.5,strong,reitsma_reml,400,0.1283,0.1535,0.4571,0.74,1.1465,1.8161,0.93,2.122,2.5374,0.945
k6_rho-0.4_p0.5,strong,sep_univariate,400,0.1066,0.1384,0.4399,0.828,1.3331,1.7942,0.945,2.092,2.9419,0.95
k6_rho-0.8_p0.1,moderate,adaptshrink_dta,400,-0.1541,0.0065,0.4676,0.845,1.6011,1.6724,0.95,1.786,2.868,0.93
k6_rho-0.8_p0.1,moderate,reitsma,400,-0.1185,0.0089,0.4626,0.853,1.3813,1.6056,0.95,2.034,2.8365,0.945
k6_rho-0.8_p0.1,moderate,reitsma_indep,400,-0.1975,0.0045,0.4862,0.818,1.41,1.8183,0.94,2.088,2.9448,0.92
k6_rho-0.8_p0.1,moderate,reitsma_reml,400,-0.105,0.0185,0.4599,0.88,1.558,1.5897,0.93,1.904,2.9976,0.955
k6_rho-0.8_p0.1,moderate,sep_univariate,400,-0.1808,0.0103,0.4752,0.855,1.612,1.5726,0.93,1.72,2.7638,0.935
k6_rho-0.8_p0.1,none,adaptshrink_dta,400,-0.2941,-0.0665,0.5126,0.812,1.5201,2.1557,0.915,1.719,2.5716,0.905
k6_rho-0.8_p0.1,none,reitsma,400,-0.2637,-0.0635,0.498,0.78,1.3284,2.1512,0.925,1.898,2.4849,0.9
k6_rho-0.8_p0.1,none,reitsma_indep,400,-0.3293,-0.0691,0.5375,0.75,1.3536,2.561,0.945,2.457,3.3002,0.93
k6_rho-0.8_p0.1,none,reitsma_reml,400,-0.2505,-0.0551,0.4897,0.823,1.5055,1.966,0.915,1.674,2.4946,0.905
k6_rho-0.8_p0.1,none,sep_univariate,400,-0.3104,-0.0631,0.5218,0.805,1.5689,2.4351,0.945,1.844,2.8763,0.935
k6_rho-0.8_p0.1,strong,adaptshrink_dta,400,-0.0275,0.0514,0.4469,0.88,1.7118,1.5844,0.945,1.413,2.4564,0.92
k6_rho-0.8_p0.1,strong,reitsma,400,0.014,0.054,0.4561,0.887,1.4546,1.6374,0.95,1.558,2.296,0.955
k6_rho-0.8_p0.1,strong,reitsma_indep,400,-0.0817,0.0482,0.4568,0.843,1.48,1.5916,0.935,1.78,2.6633,0.94
k6_rho-0.8_p0.1,strong,reitsma_reml,400,0.0265,0.0641,0.458,0.902,1.6263,1.6839,0.945,1.302,2.1488,0.94
k6_rho-0.8_p0.1,strong,sep_univariate,400,-0.0646,0.055,0.449,0.882,1.6731,1.6024,0.95,1.451,2.4341,0.94
k6_rho-0.8_p0.3,moderate,adaptshrink_dta,400,-0.0203,0.0183,0.4189,0.843,1.3397,1.3418,0.925,1.88,2.5737,0.915
k6_rho-0.8_p0.3,moderate,reitsma,400,0.0017,0.0253,0.4256,0.818,1.0281,1.3502,0.925,1.867,1.9731,0.91
k6_rho-0.8_p0.3,moderate,reitsma_indep,400,-0.0478,0.0104,0.4194,0.807,1.1741,1.2924,0.91,2.081,2.4994,0.91
k6_rho-0.8_p0.3,moderate,reitsma_reml,400,0.0184,0.0359,0.4291,0.835,1.1888,1.3578,0.93,1.645,2.0314,0.905
k6_rho-0.8_p0.3,moderate,sep_univariate,400,-0.0206,0.022,0.4192,0.855,1.4446,1.3496,0.925,1.786,2.6068,0.92
k6_rho-0.8_p0.3,none,adaptshrink_dta,400,-0.1045,-0.062,0.4083,0.84,1.251,1.2753,0.91,1.741,2.1431,0.91
k6_rho-0.8_p0.3,none,reitsma,400,-0.0857,-0.0578,0.4031,0.797,0.9746,1.2483,0.94,1.725,1.6667,0.9
k6_rho-0.8_p0.3,none,reitsma_indep,400,-0.127,-0.0672,0.4175,0.792,1.1255,1.4204,0.93,2.196,2.4426,0.93
k6_rho-0.8_p0.3,none,reitsma_reml,400,-0.073,-0.048,0.3999,0.855,1.1242,1.2773,0.945,1.388,1.5502,0.9
k6_rho-0.8_p0.3,none,sep_univariate,400,-0.1066,-0.0586,0.4118,0.848,1.3462,1.3575,0.93,1.518,2.0094,0.9
k6_rho-0.8_p0.3,strong,adaptshrink_dta,400,0.0639,0.0599,0.4321,0.838,1.3923,1.3951,0.905,1.881,2.63,0.95
k6_rho-0.8_p0.3,strong,reitsma,400,0.0866,0.0651,0.4423,0.805,1.0547,1.4578,0.9,1.645,1.7492,0.915
k6_rho-0.8_p0.3,strong,reitsma_indep,400,0.028,0.0508,0.4256,0.79,1.1873,1.2776,0.9,2.242,2.6733,0.94
k6_rho-0.8_p0.3,strong,reitsma_reml,400,0.1024,0.0773,0.449,0.843,1.2096,1.4786,0.9,1.445,1.7631,0.925
k6_rho-0.8_p0.3,strong,sep_univariate,400,0.0571,0.064,0.4308,0.853,1.4728,1.4019,0.9,1.889,2.7986,0.95
k6_rho-0.8_p0.5,moderate,adaptshrink_dta,400,0.0057,0.025,0.4017,0.873,1.2408,1.3751,0.945,1.955,2.4699,0.925
k6_rho-0.8_p0.5,moderate,reitsma,400,0.0174,0.0359,0.4062,0.84,0.9397,1.4651,0.95,1.88,1.8043,0.93
k6_rho-0.8_p0.5,moderate,reitsma_indep,400,-0.0114,0.0105,0.4017,0.818,1.0874,1.3152,0.93,2.471,2.7536,0.92
k6_rho-0.8_p0.5,moderate,reitsma_reml,400,0.0308,0.0502,0.41,0.865,1.097,1.5625,0.955,1.784,1.9939,0.94
k6_rho-0.8_p0.5,moderate,sep_univariate,400,0.0085,0.0278,0.4021,0.865,1.3361,1.3436,0.935,2.222,3.0527,0.955
k6_rho-0.8_p0.5,none,adaptshrink_dta,400,-0.0699,-0.0769,0.3978,0.835,1.2025,1.1001,0.89,1.864,2.2184,0.935
k6_rho-0.8_p0.5,none,reitsma,400,-0.0595,-0.0686,0.3958,0.795,0.9079,1.0356,0.885,2.065,1.8556,0.93
k6_rho-0.8_p0.5,none,reitsma_indep,400,-0.0818,-0.0895,0.4042,0.792,1.0845,1.1627,0.895,2.297,2.4489,0.93
k6_rho-0.8_p0.5,none,reitsma_reml,400,-0.0482,-0.0579,0.3939,0.845,1.054,1.0419,0.905,1.717,1.7834,0.92
k6_rho-0.8_p0.5,none,sep_univariate,400,-0.0668,-0.0743,0.4012,0.85,1.3271,1.1568,0.9,1.678,2.2184,0.915
k6_rho-0.8_p0.5,strong,adaptshrink_dta,400,0.0816,0.0951,0.4457,0.835,1.3677,1.7276,0.935,2.06,2.8379,0.92
k6_rho-0.8_p0.5,strong,reitsma,400,0.0957,0.108,0.4566,0.797,1.0001,1.9224,0.945,2.227,2.2368,0.95
k6_rho-0.8_p0.5,strong,reitsma_indep,400,0.061,0.0788,0.4382,0.787,1.1803,1.576,0.915,2.08,2.4838,0.905
k6_rho-0.8_p0.5,strong,reitsma_reml,400,0.1091,0.1214,0.4646,0.815,1.1495,2.0219,0.94,1.99,2.309,0.955
k6_rho-0.8_p0.5,strong,sep_univariate,400,0.0802,0.0952,0.444,0.838,1.4355,1.6132,0.915,1.963,2.8151,0.94
k6_rho0.0_p0.1,moderate,adaptshrink_dta,400,-0.1505,0.0416,0.4378,0.85,1.4096,1.537,0.935,1.566,2.2604,0.93
k6_rho0.0_p0.1,moderate,reitsma,400,-0.1349,0.0423,0.4385,0.823,1.2954,1.4929,0.94,1.724,2.2686,0.95
k6_rho0.0_p0.1,moderate,reitsma_indep,400,-0.1728,0.04,0.4463,0.82,1.3109,1.5734,0.94,1.835,2.4474,0.955
k6_rho0.0_p0.1,moderate,reitsma_reml,400,-0.1192,0.0523,0.4345,0.843,1.4731,1.4906,0.94,1.638,2.4517,0.95
k6_rho0.0_p0.1,moderate,sep_univariate,400,-0.158,0.0489,0.4386,0.86,1.5116,1.5527,0.945,1.517,2.3379,0.955
k6_rho0.0_p0.1,none,adaptshrink_dta,400,-0.2976,-0.065,0.5131,0.782,1.4285,2.1653,0.925,1.838,2.5882,0.895
k6_rho0.0_p0.1,none,reitsma,400,-0.2884,-0.0646,0.511,0.743,1.3154,2.1533,0.925,2.156,2.8225,0.905
k6_rho0.0_p0.1,none,reitsma_indep,400,-0.3199,-0.066,0.5269,0.725,1.3378,2.1542,0.92,1.965,2.609,0.895
k6_rho0.0_p0.1,none,reitsma_reml,400,-0.2729,-0.0551,0.5002,0.795,1.5164,1.9797,0.915,1.931,2.9284,0.91
k6_rho0.0_p0.1,none,sep_univariate,400,-0.3019,-0.0591,0.5125,0.81,1.553,1.9945,0.9,1.734,2.6583,0.915
k6_rho0.0_p0.1,strong,adaptshrink_dta,400,0.0078,0.1251,0.4357,0.84,1.432,1.571,0.91,1.66,2.4721,0.93
k6_rho0.0_p0.1,strong,reitsma,400,0.0297,0.1258,0.444,0.81,1.3194,1.5766,0.9,1.82,2.4765,0.94
k6_rho0.0_p0.1,strong,reitsma_indep,400,-0.0236,0.1235,0.4389,0.812,1.3159,1.6079,0.915,1.845,2.4996,0.94
k6_rho0.0_p0.1,strong,reitsma_reml,400,0.0446,0.137,0.449,0.835,1.493,1.6024,0.9,1.673,2.5762,0.945
k6_rho0.0_p0.1,strong,sep_univariate,400,-0.0127,0.1336,0.4368,0.855,1.5093,1.5813,0.91,1.613,2.5131,0.945
k6_rho0.0_p0.3,moderate,adaptshrink_dta,400,0.0217,0.0599,0.3978,0.845,1.1452,1.5811,0.945,1.957,2.2947,0.965
k6_rho0.0_p0.3,moderate,reitsma,400,0.0288,0.0613,0.4015,0.78,1.027,1.5667,0.95,2.191,2.2874,0.94
k6_rho0.0_p0.3,moderate,reitsma_indep,400,0.0081,0.0569,0.3959,0.843,1.0761,1.5531,0.95,2.142,2.3564,0.96
k6_rho0.0_p0.3,moderate,reitsma_reml,400,0.0479,0.0727,0.407,0.825,1.2142,1.66,0.945,1.882,2.3364,0.935
k6_rho0.0_p0.3,moderate,sep_univariate,400,0.0324,0.0665,0.3972,0.877,1.3032,1.4872,0.935,1.706,2.2841,0.96
k6_rho0.0_p0.3,none,adaptshrink_dta,400,-0.1176,-0.0693,0.4195,0.79,1.1391,1.6353,0.94,2.907,3.3036,0.975
k6_rho0.0_p0.3,none,reitsma,400,-0.1165,-0.0685,0.4197,0.738,1.0166,1.6351,0.935,3.17,3.2086,0.965
k6_rho0.0_p0.3,none,reitsma_indep,400,-0.1257,-0.0719,0.421,0.767,1.0963,1.6363,0.94,3.589,3.9127,0.97
k6_rho0.0_p0.3,none,reitsma_reml,400,-0.0981,-0.0567,0.4144,0.785,1.2218,1.7145,0.955,2.462,3.008,0.95
k6_rho0.0_p0.3,none,sep_univariate,400,-0.1042,-0.0612,0.4142,0.843,1.3406,1.5902,0.935,2.055,2.738,0.96
k6_rho0.0_p0.3,strong,adaptshrink_dta,400,0.1242,0.1655,0.4396,0.79,1.1204,1.4997,0.915,1.78,2.0175,0.915
k6_rho0.0_p0.3,strong,reitsma,400,0.135,0.1675,0.4466,0.71,0.9914,1.5196,0.91,2.224,2.2417,0.925
k6_rho0.0_p0.3,strong,reitsma_indep,400,0.1072,0.1614,0.4336,0.765,1.0334,1.5048,0.915,1.848,1.9436,0.925
k6_rho0.0_p0.3,strong,reitsma_reml,400,0.1533,0.1801,0.4584,0.733,1.1555,1.5987,0.905,2.162,2.5638,0.935
k6_rho0.0_p0.3,strong,sep_univariate,400,0.1317,0.1729,0.4435,0.812,1.2536,1.589,0.925,1.614,2.0797,0.93
k6_rho0.0_p0.5,moderate,adaptshrink_dta,400,0.0479,0.0462,0.4045,0.825,1.0697,1.5669,0.94,2.357,2.6132,0.96
k6_rho0.0_p0.5,moderate,reitsma,400,0.0509,0.0489,0.4088,0.75,0.9595,1.6697,0.95,2.744,2.7404,0.955
k6_rho0.0_p0.5,moderate,reitsma_indep,400,0.042,0.0407,0.4016,0.82,1.0182,1.567,0.94,2.463,2.6139,0.95
k6_rho0.0_p0.5,moderate,reitsma_reml,400,0.0666,0.0658,0.4152,0.787,1.154,1.7138,0.95,2.77,3.3553,0.97
k6_rho0.0_p0.5,moderate,sep_univariate,400,0.0613,0.0583,0.4086,0.858,1.273,1.5342,0.94,2.156,2.8831,0.975
k6_rho0.0_p0.5,none,adaptshrink_dta,400,-0.0759,-0.0843,0.4047,0.823,1.097,1.4211,0.935,2.25,2.5083,0.965
k6_rho0.0_p0.5,none,reitsma,400,-0.0765,-0.0827,0.4039,0.762,0.9625,1.4075,0.945,2.244,2.1781,0.92
k6_rho0.0_p0.5,none,reitsma_indep,400,-0.0804,-0.0886,0.4071,0.805,1.0582,1.4669,0.935,2.612,2.8007,0.955
k6_rho0.0_p0.5,none,reitsma_reml,400,-0.064,-0.0669,0.402,0.807,1.1599,1.4467,0.945,1.941,2.2803,0.92
k6_rho0.0_p0.5,none,sep_univariate,400,-0.0666,-0.0735,0.404,0.863,1.2875,1.4196,0.935,1.842,2.3894,0.935
k6_rho0.0_p0.5,strong,adaptshrink_dta,400,0.1538,0.1582,0.4449,0.77,1.0283,1.8663,0.935,2.354,2.5945,0.965
k6_rho0.0_p0.5,strong,reitsma,400,0.1589,0.1607,0.45,0.693,0.9187,1.7702,0.92,2.982,2.8895,0.97
k6_rho0.0_p0.5,strong,reitsma_indep,400,0.1464,0.1504,0.438,0.77,0.9648,1.8381,0.925,2.469,2.5803,0.965
k6_rho0.0_p0.5,strong,reitsma_reml,400,0.176,0.1776,0.4642,0.715,1.094,1.9552,0.935,2.767,3.1978,0.975
k6_rho0.0_p0.5,strong,sep_univariate,400,0.1676,0.1694,0.4543,0.802,1.2012,1.952,0.935,2.226,2.9025,0.97
