target,regime,rep,method,true_mu,mu_hat,ci_low,ci_high,converged,delta,Q
DPP4,rich,15,nma,-0.606432132997184,-0.6075639526488983,-0.8442663760926358,-0.3708615292051608,True,,
DPP4,rich,15,borrow,-0.606432132997184,-0.614003757541031,-0.7936834185275496,-0.43432409655451226,True,1.0,0.06084856672966335
DPP4,rich,15,shrink_mean,-0.606432132997184,-0.609142724783526,-0.7799304359495074,-0.4383550136175447,True,1.0,0.0018612079353136106
DPP4,rich,16,nma,-0.606432132997184,-0.592120284973396,-0.8236118889168214,-0.3606286810299706,True,,
DPP4,rich,16,borrow,-0.606432132997184,-0.5976165943956487,-0.7951033491582543,-0.40012983963304316,True,1.0,0.0812204365637992
DPP4,rich,16,shrink_mean,-0.606432132997184,-0.5918009013654485,-0.7770160676941779,-0.40658573503671913,True,1.0,0.008218088233168552
DPP4,rich,17,nma,-0.606432132997184,-0.6140743899825156,-0.8475416876471259,-0.38060709231790535,True,,
DPP4,rich,17,borrow,-0.606432132997184,-0.6182216028043342,-0.7917216391943901,-0.4447215664142784,True,1.0,0.05610063692654477
DPP4,rich,17,shrink_mean,-0.606432132997184,-0.6136551239029624,-0.7791265877527639,-0.4481836600531609,True,1.0,0.0009526929845509743
DPP4,rich,18,nma,-0.606432132997184,-0.631197845941811,-0.8628506352580823,-0.39954505662553985,True,,
DPP4,rich,18,borrow,-0.606432132997184,-0.6337038345575785,-0.7942487579195808,-0.4731589111955762,True,1.0,0.040660116001997225
DPP4,rich,18,shrink_mean,-0.606432132997184,-0.6298140576482777,-0.7848565028298129,-0.4747716124667425,True,1.0,0.00016283672116662758
DPP4,rich,19,nma,-0.606432132997184,-0.6052551331380411,-0.8394384056079806,-0.3710718606681017,True,,
DPP4,rich,19,borrow,-0.606432132997184,-0.6111426056474694,-0.7809028781888326,-0.4413823331061061,True,1.0,0.06382855834214454
DPP4,rich,19,shrink_mean,-0.606432132997184,-0.606574693974581,-0.7674019756401105,-0.4457474123090515,True,1.0,0.002494504880930297
DPP4,rich,20,nma,-0.606432132997184,-0.6099273501912053,-0.8479861524493906,-0.37186854793302,True,,
DPP4,rich,20,borrow,-0.606432132997184,-0.6165342820709286,-0.7595436591458218,-0.47352490499603556,True,1.0,0.057276035664791836
DPP4,rich,20,shrink_mean,-0.606432132997184,-0.6129425979246101,-0.7486692171344025,-0.47721597871481786,True,1.0,0.0010573446868960747
DPP4,rich,21,nma,-0.606432132997184,-0.622445666276914,-0.8552007125914374,-0.38969061996239057,True,,
DPP4,rich,21,borrow,-0.606432132997184,-0.6250530336034344,-0.8077790682428083,-0.4423269989640605,True,1.0,0.04925402573542421
DPP4,rich,21,shrink_mean,-0.606432132997184,-0.6202246281609677,-0.7954684602066746,-0.44498079611526076,True,1.0,0.00017295758638921735
DPP4,rich,22,nma,-0.606432132997184,-0.5022039188361873,-0.7260715540956916,-0.27833628357668305,True,,
DPP4,rich,22,borrow,-0.606432132997184,-0.5044211212684714,-0.6770650703831999,-0.3317771721537429,True,1.0,0.2546143767104161
DPP4,rich,22,shrink_mean,-0.606432132997184,-0.4948493838141702,-0.6250813850424968,-0.36461738258584364,True,1.0,0.1278901617782478
DPP4,rich,23,nma,-0.606432132997184,-0.5799719992336887,-0.8125460457837925,-0.34739795268358487,True,,
DPP4,rich,23,borrow,-0.606432132997184,-0.5837873285471246,-0.7550126355052471,-0.412562021589002,True,1.0,0.09931627944052879
DPP4,rich,23,shrink_mean,-0.606432132997184,-0.5783929370659975,-0.7356402190807059,-0.4211456550512891,True,1.0,0.015937580052987448
DPP4,rich,24,nma,-0.606432132997184,-0.6876454148068039,-0.923912601481061,-0.45137822813254674,True,,
DPP4,rich,24,borrow,-0.606432132997184,-0.6865094408896574,-0.8395560337690755,-0.5334628480102392,True,1.0,0.00728555826260962
DPP4,rich,24,shrink_mean,-0.606432132997184,-0.6824986969928202,-0.8359631465449247,-0.5290342474407157,True,1.0,0.024143834718762653
DPP4,rich,25,nma,-0.606432132997184,-0.6171802855452118,-0.8532663052781146,-0.3810942658123089,True,,
DPP4,rich,25,borrow,-0.606432132997184,-0.6280075055000172,-0.7495622803745781,-0.5064527306254563,True,1.0,0.045361811932620885
DPP4,rich,25,shrink_mean,-0.606432132997184,-0.6252927981300479,-0.7416716013187531,-0.5089139949413427,True,1.0,3.3305014892246503e-07
DPP4,rich,26,nma,-0.606432132997184,-0.635656023913223,-0.8703961837088637,-0.4009158641175822,True,,
DPP4,rich,26,borrow,-0.606432132997184,-0.6397442811545573,-0.8057322673673053,-0.47375629494180926,True,1.0,0.03550029431726121
DPP4,rich,26,shrink_mean,-0.606432132997184,-0.6356870999042805,-0.7966957148930986,-0.4746784849154624,True,1.0,0.0008199460481574693
DPP4,rich,27,nma,-0.606432132997184,-0.6705401335675139,-0.9056380542862434,-0.43544221284878426,True,,
DPP4,rich,27,borrow,-0.606432132997184,-0.6732929301866585,-0.8465359610449993,-0.5000498993283177,True,1.0,0.013139706356216087
DPP4,rich,27,shrink_mean,-0.606432132997184,-0.6686436042491982,-0.8403601905194164,-0.4969270179789801,True,1.0,0.01399275287132053
DPP4,rich,28,nma,-0.606432132997184,-0.5824941991512729,-0.8158814315312735,-0.34910696677127223,True,,
DPP4,rich,28,borrow,-0.606432132997184,-0.5906714777286829,-0.7917711279047426,-0.38957182755262315,True,1.0,0.0907174129613415
DPP4,rich,28,shrink_mean,-0.606432132997184,-0.5845735359485977,-0.7720292985074618,-0.39711777338973364,True,1.0,0.012214122157858557
DPP4,rich,29,nma,-0.606432132997184,-0.5875694755751102,-0.8205558178835846,-0.3545831332666359,True,,
DPP4,rich,29,borrow,-0.606432132997184,-0.5940226831174995,-0.751863717136452,-0.43618164909854706,True,1.0,0.08463688533930812
DPP4,rich,29,shrink_mean,-0.606432132997184,-0.589351166534805,-0.7356141222311792,-0.4430882108384309,True,1.0,0.009249870870825362
DPP4,rich,30,nma,-0.606432132997184,-0.6280199863590115,-0.8626661997484443,-0.39337377296957865,True,,
DPP4,rich,30,borrow,-0.606432132997184,-0.634381579431481,-0.7892393528767957,-0.4795238059861663,True,1.0,0.03996992253694313
DPP4,rich,30,shrink_mean,-0.606432132997184,-0.6307069783147485,-0.7803372330223178,-0.48107672360717924,True,1.0,0.00022929480762188344
DPP4,rich,31,nma,-0.606432132997184,-0.6560602736911205,-0.8963289279946239,-0.4157916193876171,True,,
DPP4,rich,31,borrow,-0.606432132997184,-0.6604382969366828,-0.8470503315571295,-0.47382626231623604,True,1.0,0.020535089396866723
DPP4,rich,31,shrink_mean,-0.606432132997184,-0.6553600952823859,-0.8385527816916045,-0.4721674088731674,True,1.0,0.006793247945013792
DPP4,rich,32,nma,-0.606432132997184,-0.5642807022374918,-0.7996939111862731,-0.32886749328871057,True,,
DPP4,rich,32,borrow,-0.606432132997184,-0.5718472115523864,-0.7388937818917478,-0.404800641213025,True,1.0,0.11732838659571519
DPP4,rich,32,shrink_mean,-0.606432132997184,-0.56609467523414,-0.7164201037947051,-0.4157692466735749,True,1.0,0.02544273439751838
DPP4,rich,33,nma,-0.606432132997184,-0.5260727990174705,-0.7517139711988347,-0.30043162683610636,True,,
