mu,tau,selection,quality_bias,k,design_mix,method,replicate,true_mu,k_published,mu_hat,ci_low,ci_high,converged
0.2,0.0,none,moderate,30,all_rct,copas,26,0.2,11,0.30002372268262006,0.21696162323146267,0.38308582213377745,True
0.2,0.0,none,moderate,30,all_rct,quality_effects,26,0.2,11,0.2622143391646429,0.18871401721716943,0.33571466111211634,True
0.2,0.0,none,moderate,30,all_rct,ubcma,26,0.2,11,0.22515983530530326,0.1364697489235686,0.3133031752276172,True
0.2,0.0,none,moderate,30,all_rct,dl,27,0.2,16,0.23211236343131797,0.16123791658949554,0.3029868102731404,True
0.2,0.0,none,moderate,30,all_rct,dl_hksj,27,0.2,16,0.23211236343131797,0.15503822694519404,0.3091864999174419,True
0.2,0.0,none,moderate,30,all_rct,reml,27,0.2,16,0.23489602912824262,0.15836641696234316,0.3114256412941421,True
0.2,0.0,none,moderate,30,all_rct,reml_hksj,27,0.2,16,0.23489602912824262,0.15167051663947537,0.3181215416170099,True
0.2,0.0,none,moderate,30,all_rct,trim_and_fill,27,0.2,16,0.10394833026487767,0.05701375943495453,0.1508829010948008,True
0.2,0.0,none,moderate,30,all_rct,pet_peese,27,0.2,16,0.1976275058193405,0.11241102209531331,0.28284398954336765,True
0.2,0.0,none,moderate,30,all_rct,copas,27,0.2,16,0.23343977582239664,0.1598003475500765,0.3070792040947168,True
0.2,0.0,none,moderate,30,all_rct,quality_effects,27,0.2,16,0.2158487222414782,0.14780995479920486,0.28388748968375155,True
0.2,0.0,none,moderate,30,all_rct,ubcma,27,0.2,16,0.1777557065397085,0.0779551727115401,0.3262865345184378,True
0.2,0.0,none,moderate,30,all_rct,dl,28,0.2,19,0.3181163594835192,0.2698559289241749,0.36637679004286344,True
0.2,0.0,none,moderate,30,all_rct,dl_hksj,28,0.2,19,0.3181163594835192,0.2663860522214536,0.36984666674558475,True
0.2,0.0,none,moderate,30,all_rct,reml,28,0.2,19,0.3181163670581277,0.2698568154066788,0.3663759187095766,True
0.2,0.0,none,moderate,30,all_rct,reml_hksj,28,0.2,19,0.3181163670581277,0.26638605133986565,0.3698466827763897,True
0.2,0.0,none,moderate,30,all_rct,trim_and_fill,28,0.2,19,0.24097853012643616,0.2030246477980686,0.2789324124548037,True
0.2,0.0,none,moderate,30,all_rct,pet_peese,28,0.2,19,0.3287972966128448,0.25023830154048743,0.40735629168520215,True
0.2,0.0,none,moderate,30,all_rct,copas,28,0.2,19,0.31811632376892923,0.26985677997856794,0.3663758675592905,True
0.2,0.0,none,moderate,30,all_rct,quality_effects,28,0.2,19,0.3057404806420906,0.24323336824175984,0.36824759304242133,True
0.2,0.0,none,moderate,30,all_rct,ubcma,28,0.2,19,0.24899663770218552,0.15284439524604215,0.3501383369409859,True
0.2,0.0,none,moderate,30,all_rct,dl,29,0.2,14,0.26830876788799884,0.1990457378518275,0.3375717979241702,True
0.2,0.0,none,moderate,30,all_rct,dl_hksj,29,0.2,14,0.26830876788799884,0.19196505404014913,0.34465248173584856,True
0.2,0.0,none,moderate,30,all_rct,reml,29,0.2,14,0.26766790159745113,0.1953187780389658,0.34001702515593646,True
0.2,0.0,none,moderate,30,all_rct,reml_hksj,29,0.2,14,0.26766790159745113,0.18792114089613926,0.347414662298763,True
0.2,0.0,none,moderate,30,all_rct,trim_and_fill,29,0.2,14,0.11854993663645766,0.07964972919811489,0.15745014407480043,True
0.2,0.0,none,moderate,30,all_rct,pet_peese,29,0.2,14,0.2839855520345922,0.21227564762891687,0.3556954564402675,True
0.2,0.0,none,moderate,30,all_rct,copas,29,0.2,14,0.26733912205011734,0.1983860146092913,0.3362922294909434,True
0.2,0.0,none,moderate,30,all_rct,quality_effects,29,0.2,14,0.24380986853855025,0.18079401972480308,0.3068257173522974,True
0.2,0.0,none,moderate,30,all_rct,ubcma,29,0.2,14,0.17310200635790485,0.08659856475004112,0.2569509503329994,True
0.2,0.0,none,moderate,30,all_rct,dl,30,0.2,17,0.27146438545703977,0.21440585337145682,0.3285229175426227,True
0.2,0.0,none,moderate,30,all_rct,dl_hksj,30,0.2,17,0.27146438545703977,0.20886867951832633,0.3340600913957532,True
0.2,0.0,none,moderate,30,all_rct,reml,30,0.2,17,0.2750918469578745,0.22393297665605275,0.32625071725969623,True
0.2,0.0,none,moderate,30,all_rct,reml_hksj,30,0.2,17,0.2750918469578745,0.21602935054962577,0.33415434336612315,True
0.2,0.0,none,moderate,30,all_rct,trim_and_fill,30,0.2,17,0.12450420642982038,0.08697735136174489,0.16203106149789587,True
0.2,0.0,none,moderate,30,all_rct,pet_peese,30,0.2,17,0.25991938610990795,0.18284184957499944,0.33699692264481645,True
0.2,0.0,none,moderate,30,all_rct,copas,30,0.2,17,0.2750918485274421,0.2239329866948906,0.32625071035999365,True
0.2,0.0,none,moderate,30,all_rct,quality_effects,30,0.2,17,0.2735062940993452,0.2132330133635,0.3337795748351904,True
0.2,0.0,none,moderate,30,all_rct,ubcma,30,0.2,17,0.24639434587008133,0.13936747140823386,0.35214671155596156,True
0.2,0.0,none,moderate,30,all_rct,dl,31,0.2,16,0.30945841334884117,0.2520725682418147,0.36684425845586766,True
0.2,0.0,none,moderate,30,all_rct,dl_hksj,31,0.2,16,0.30945841334884117,0.2470527840248946,0.3718640426727877,True
0.2,0.0,none,moderate,30,all_rct,reml,31,0.2,16,0.30978731756021355,0.2477534093535385,0.3718212257668886,True
0.2,0.0,none,moderate,30,all_rct,reml_hksj,31,0.2,16,0.30978731756021355,0.24232579964490197,0.3772488354755251,True
0.2,0.0,none,moderate,30,all_rct,trim_and_fill,31,0.2,16,0.1862402976823123,0.14387172968225756,0.22860886568236702,True
0.2,0.0,none,moderate,30,all_rct,pet_peese,31,0.2,16,0.31601502836717044,0.23143496535524904,0.4005950913790918,True
0.2,0.0,none,moderate,30,all_rct,copas,31,0.2,16,0.3085024957867284,0.2514264715861287,0.3655785199873281,True
0.2,0.0,none,moderate,30,all_rct,quality_effects,31,0.2,16,0.2822672359062203,0.21294102742699278,0.3515934443854479,True
0.2,0.0,none,moderate,30,all_rct,ubcma,31,0.2,16,0.2658360741805366,0.17885003134611052,0.34812977633080083,True
0.2,0.0,none,moderate,30,all_rct,dl,32,0.2,14,0.26195032875177876,0.18710326383017314,0.33679739367338435,True
0.2,0.0,none,moderate,30,all_rct,dl_hksj,32,0.2,14,0.26195032875177876,0.1784671218221059,0.34543353568145163,True
0.2,0.0,none,moderate,30,all_rct,reml,32,0.2,14,0.26132929640652564,0.1843785368384805,0.3382800559745708,True
0.2,0.0,none,moderate,30,all_rct,reml_hksj,32,0.2,14,0.26132929640652564,0.17651038627700044,0.34614820653605083,True
0.2,0.0,none,moderate,30,all_rct,trim_and_fill,32,0.2,14,0.21198437587426183,0.16967718389700465,0.254291567851519,True
0.2,0.0,none,moderate,30,all_rct,pet_peese,32,0.2,14,0.2970276287646078,0.22976347680199177,0.36429178072722385,True
0.2,0.0,none,moderate,30,all_rct,copas,32,0.2,14,0.26263831931010423,0.18986841730603157,0.3354082213141769,True
0.2,0.0,none,moderate,30,all_rct,quality_effects,32,0.2,14,0.24679733381995422,0.1821851896834118,0.31140947795649665,True
0.2,0.0,none,moderate,30,all_rct,ubcma,32,0.2,14,0.1544640429603242,0.039045848448774116,0.25874234044196875,True
0.2,0.0,none,moderate,30,all_rct,dl,33,0.2,21,0.29836233193091033,0.22635929710900038,0.3703653667528203,True
0.2,0.0,none,moderate,30,all_rct,dl_hksj,33,0.2,21,0.29836233193091033,0.2184480884637196,0.37827657539810106,True
0.2,0.0,none,moderate,30,all_rct,reml,33,0.2,21,0.2974807699630862,0.22668313104610005,0.36827840888007235,True
0.2,0.0,none,moderate,30,all_rct,reml_hksj,33,0.2,21,0.2974807699630862,0.21791755681394073,0.37704398311223164,True
0.2,0.0,none,moderate,30,all_rct,trim_and_fill,33,0.2,21,0.13670851771745277,0.10103023860145857,0.17238679683344696,True
0.2,0.0,none,moderate,30,all_rct,pet_peese,33,0.2,21,0.11898482972209441,-0.0006876608571986798,0.2386573203013875,True
0.2,0.0,none,moderate,30,all_rct,copas,33,0.2,21,0.2955731417706327,0.22727296956063855,0.36387331398062683,True
0.2,0.0,none,moderate,30,all_rct,quality_effects,33,0.2,21,0.24017574954064946,0.18245041017937683,0.29790108890192213,True
0.2,0.0,none,moderate,30,all_rct,ubcma,33,0.2,21,0.13607452306613313,0.043970489722261405,0.22595424546811277,True
0.2,0.0,none,moderate,30,all_rct,dl,34,0.2,16,0.27755207596876935,0.21574048300262577,0.33936366893491293,True
0.2,0.0,none,moderate,30,all_rct,dl_hksj,34,0.2,16,0.27755207596876935,0.21033355977590584,0.34477059216163286,True
0.2,0.0,none,moderate,30,all_rct,reml,34,0.2,16,0.2775520779993594,0.21574161446095239,0.33936254153776635,True
0.2,0.0,none,moderate,30,all_rct,reml_hksj,34,0.2,16,0.2775520779993594,0.21033355487394922,0.34477060112476954,True
0.2,0.0,none,moderate,30,all_rct,trim_and_fill,34,0.2,16,0.1846485300302748,0.13642333719340077,0.2328737228671488,True
0.2,0.0,none,moderate,30,all_rct,pet_peese,34,0.2,16,0.2713766855920172,0.17904704105713273,0.3637063301269017,True
0.2,0.0,none,moderate,30,all_rct,copas,34,0.2,16,0.27754144111522916,0.21573098358448325,0.3393518986459751,True
0.2,0.0,none,moderate,30,all_rct,quality_effects,34,0.2,16,0.26940237737876277,0.19554609333412049,0.34325866142340505,True
0.2,0.0,none,moderate,30,all_rct,ubcma,34,0.2,16,0.24375791423335136,0.13415770374015573,0.35328113125236843,True
0.2,0.0,none,moderate,30,all_rct,dl,35,0.2,12,0.3032581814101176,0.25036112310224296,0.3561552397179923,True
0.2,0.0,none,moderate,30,all_rct,dl_hksj,35,0.2,12,0.3032581814101176,0.24385734449780425,0.362659018322431,True
0.2,0.0,none,moderate,30,all_rct,reml,35,0.2,12,0.303258174519702,0.25036207382311404,0.35615427521628995,True
0.2,0.0,none,moderate,30,all_rct,reml_hksj,35,0.2,12,0.303258174519702,0.24385732145391248,0.3626590275854915,True
0.2,0.0,none,moderate,30,all_rct,trim_and_fill,35,0.2,12,0.26391913532542766,0.22091700885001864,0.3069212618008367,True
0.2,0.0,none,moderate,30,all_rct,pet_peese,35,0.2,12,0.3273982303602906,0.2613681697981449,0.39342829092243625,True
0.2,0.0,none,moderate,30,all_rct,copas,35,0.2,12,0.30325817636953917,0.2503620900505142,0.35615426268856415,True
0.2,0.0,none,moderate,30,all_rct,quality_effects,35,0.2,12,0.29605534295646974,0.23600586581810973,0.35610482009482974,True
0.2,0.0,none,moderate,30,all_rct,ubcma,35,0.2,12,0.27149774391269127,0.1906844043496927,0.3530358667901562,True
0.2,0.0,none,moderate,30,all_rct,dl,36,0.2,21,0.2618286092309272,0.1693334124569268,0.35432380600492763,True
0.2,0.0,none,moderate,30,all_rct,dl_hksj,36,0.2,21,0.2618286092309272,0.15264218824686726,0.37101503021498716,True
0.2,0.0,none,moderate,30,all_rct,reml,36,0.2,21,0.2636090478872265,0.1655310441176469,0.3616870516568061,True
