nct_id,drug_class,published,abs_md_pct
NCT01263496,DPP4,0,0.37
NCT01263496,AGI,0,0.37
NCT01263496,DPP4,0,0.357
NCT01263496,AGI,0,0.357
NCT01263496,DPP4,0,0.341
NCT01263496,AGI,0,0.341
NCT01263496,DPP4,0,0.375
NCT01263496,AGI,0,0.375
NCT01263496,DPP4,0,0.374
NCT01263496,AGI,0,0.374
NCT01263496,DPP4,0,0.36
NCT01263496,AGI,0,0.36
NCT01263496,DPP4,0,0.358
NCT01263496,AGI,0,0.358
NCT01263496,DPP4,0,0.373
NCT01263496,AGI,0,0.373
NCT01263496,DPP4,0,0.408
NCT01263496,AGI,0,0.408
NCT02068443,metformin,0,0.65
NCT02068443,DPP4,0,0.65
NCT00859898,metformin,1,0.01
NCT00859898,SGLT2,1,0.01
NCT00859898,metformin,1,0.45
NCT00859898,SGLT2,1,0.45
NCT00570739,metformin,1,0.19
NCT00570739,metformin,1,0.08
NCT03730662,GLP1,1,0.99
NCT03730662,insulin,1,0.99
NCT03987919,GLP1,1,0.51
NCT01475461,DPP4,1,0.45
NCT01475461,DPP4,1,0.54
NCT02558296,SGLT2,0,0.38
NCT00643851,metformin,1,0.86
NCT00643851,SGLT2,1,0.86
NCT00643851,metformin,1,1.34
NCT00643851,SGLT2,1,1.34
NCT02471404,SGLT2,1,0.16
NCT02471404,DPP4,1,0.16
NCT02471404,SU,1,0.16
NCT04039503,GLP1,1,1.66
NCT02058147,metformin,1,0.78
NCT02058147,GLP1,1,0.78
NCT02058147,insulin,1,0.78
NCT03311724,GLP1,0,1.9
NCT01263496,DPP4,0,0.548
NCT01263496,AGI,0,0.548
NCT01263496,DPP4,0,0.493
NCT01263496,AGI,0,0.493
NCT01263496,DPP4,0,0.395
NCT01263496,AGI,0,0.395
NCT01263496,DPP4,0,0.319
NCT01263496,AGI,0,0.319
NCT01263496,DPP4,0,0.241
NCT01263496,AGI,0,0.241
NCT01263496,DPP4,0,0.294
NCT01263496,AGI,0,0.294
NCT01263496,DPP4,0,0.234
NCT01263496,AGI,0,0.234
NCT01263496,DPP4,0,0.193
NCT01263496,AGI,0,0.193
NCT01263496,DPP4,0,0.236
NCT01263496,AGI,0,0.236
NCT01263496,DPP4,0,0.262
NCT01263496,AGI,0,0.262
NCT01263496,DPP4,0,0.277
NCT01263496,AGI,0,0.277
NCT01263496,DPP4,0,0.245
NCT01263496,AGI,0,0.245
NCT00859898,metformin,1,0.54
NCT00859898,SGLT2,1,0.54
NCT00570739,metformin,1,0.18
NCT00570739,metformin,1,0.06
NCT01475461,DPP4,1,0.17
NCT01475461,DPP4,1,0.12
NCT02558296,SGLT2,0,0.43
