ma,family,specialty,yi,se,year,nct,condition,intervention,prespecified,corpus_specialty
aact_depressive_piperazine,LOR,psychiatry,0.5810976767513224,0.22847507219139418,2015,NCT02389816,depressive disorder,piperazines,0,1
aact_depressive_piperazine,LOR,psychiatry,0.29266961396282004,0.2331509725154898,2008,NCT00635219,depressive disorder,piperazines,0,1
aact_depressive_piperazine,LOR,psychiatry,0.6043159668533296,0.18965856640707854,2012,NCT01488071,depressive disorder,piperazines,0,1
aact_depressive_piperazine,LOR,psychiatry,1.1410330045520618,0.2417367408305628,2011,NCT01422213,depressive disorder,piperazines,0,1
aact_depressive_piperazine,LOR,psychiatry,1.2119409739751128,0.23904179815151708,2010,NCT01140906,depressive disorder,piperazines,0,1
aact_depressive_piperazine,LOR,psychiatry,0.208638865111328,0.24586318398305815,2010,NCT01179516,depressive disorder,piperazines,0,1
aact_diabetesme_thiophenes,LOR,clinical_medicine,1.2178757094949273,0.35704695029758365,2011,NCT01340664,diabetes mellitus,thiophenes,0,1
aact_diabetesme_thiophenes,LOR,clinical_medicine,1.4996230464268938,0.22385236779192147,2010,NCT01106651,diabetes mellitus,thiophenes,0,1
aact_diabetesme_thiophenes,LOR,clinical_medicine,2.174751721484161,0.30317403806716847,2010,NCT01106625,diabetes mellitus,thiophenes,0,1
aact_diabetesme_thiophenes,LOR,clinical_medicine,1.682688374173693,0.34606564269074974,2010,NCT01106690,diabetes mellitus,thiophenes,0,1
aact_diabetesme_thiophenes,LOR,clinical_medicine,1.1908875647772805,0.285190974626441,2011,NCT01381900,diabetes mellitus,thiophenes,0,1
aact_diabetesme_thiophenes,LOR,clinical_medicine,2.681706225762608,0.29869829707558476,2010,NCT01081834,diabetes mellitus,thiophenes,0,1
aact_diabetesme_thiophenes,LOR,clinical_medicine,1.47932922708708,0.22071377317850494,2010,NCT01106677,diabetes mellitus,thiophenes,0,1
aact_diabetesme_thiophenes,LOR,clinical_medicine,0.9895411936137477,0.41440830485578956,2010,NCT01064414,diabetes mellitus,thiophenes,0,1
