ma,specialty,y,within,within_sd,mu_cold,sd_cold,aact
aact_carcinoma_guanine,oncology,1.5690324977990613,0.28225108867860943,0.2964691067048771,0.2812420889349408,0.7394211533716455,True
aact_carcinoma_guanine,oncology,1.8562979903656265,0.3837214745170058,0.43529585242627084,0.3452842440768624,0.7513824769510277,True
aact_carcinoma_guanine,oncology,0.5364933705145685,0.39092468366890604,0.48401199538980294,0.28951123875068807,0.7398395479140275,True
aact_carcinoma_guanine,oncology,0.2546422183735807,0.45583046052394727,0.5383881909312869,0.22767962651069548,0.7408826907699966,True
aact_carcinoma_guanine,oncology,0.9162907318741552,0.3909103796823674,0.46764114807810975,0.3225802794493269,0.7472956678921376,True
aact_carcinoma_guanine,oncology,0.4762341789963717,0.39305331920156944,0.5077836169808234,0.28290512677632773,0.7426336429926637,True
aact_carcinoma_guanine,oncology,-0.0408219945202551,0.525414965549019,0.4587778403651394,0.24046920326700358,0.7402920646968276,True
aact_carcinoma_guanine,oncology,0.29266961396282,0.40790193601315583,0.48454528929868823,0.2858810734132321,0.7401786185781614,True
aact_carcinoma_guanine,oncology,0.5068176023684519,0.394057371853896,0.4826877687849484,0.294143421375588,0.740085775614513,True
aact_carcinoma_guanine,oncology,0.2070141693843261,0.4261317803119595,0.4859062617040117,0.29555464407795007,0.7405107305210197,True
aact_intestinal_antibodies,oncology,1.673351238177753,0.2891364142331038,0.2685188085489209,0.2834075934166679,0.7405859094727735,True
aact_intestinal_antibodies,oncology,0.1397619423751586,0.4341314248833733,0.4603192310588584,0.21192145538279306,0.7420797177130914,True
aact_intestinal_antibodies,oncology,-0.8915981192837836,0.42471370577374046,0.38009459594405226,0.3796192257053834,0.7419460853897305,True
aact_intestinal_antibodies,oncology,0.5709795465857378,0.3506133788970539,0.4609546477002896,0.24801694704101365,0.7450572536045866,True
aact_intestinal_antibodies,oncology,0.2758118998812936,0.3942177660413524,0.45069556931654137,0.2918833772197865,0.7404216257218788,True
aact_intestinal_antibodies,oncology,0.62057648772511,0.37836527731418257,0.4415611251477855,0.370612840694463,0.7419643385606852,True
aact_intestinal_antibodies,oncology,0.7371640659767196,0.3763660671310922,0.4354939148252664,0.39582954725517105,0.7424617672830727,True
aact_intestinal_antibodies,oncology,0.3364722366212129,0.4098645795992031,0.5339299442368219,0.14079395913200213,0.7462582223753332,True
aact_intestinal_antibodies,oncology,0.0769610411361284,0.3977493608052464,0.43961949828519375,0.3575895347036785,0.7412239471909797,True
aact_intestinal_antibodies,oncology,0.3001045924503381,0.40210333420986627,0.47597030249037103,0.2015064090181415,0.7419409027140549,True
aact_hepatitisc_ribonucleo,infectious_disease,0.494696241836107,0.01257960110114301,0.36058528543036455,-0.18263244783012314,0.7414822808918744,True
aact_hepatitisc_ribonucleo,infectious_disease,0.0769610411361284,0.08052053606478876,0.45361871893024397,-0.08072441207264502,0.7510149206353338,True
aact_hepatitisc_ribonucleo,infectious_disease,0.5359084041334539,0.06774202934603146,0.37114737777943624,-0.406486212000868,0.7338733627876614,True
aact_hepatitisc_ribonucleo,infectious_disease,-0.3856624808119846,0.09776615691320832,0.3700811858409842,-0.3661887119935078,0.736662222583359,True
aact_hepatitisc_ribonucleo,infectious_disease,0.1397619423751586,0.07809079643253744,0.3814323312035154,-0.34884944628960346,0.735204354500301,True
aact_hepatitisc_ribonucleo,infectious_disease,0.6931471805599453,0.05115205014106614,0.3581534641810432,-0.35937040128819864,0.7326141536951079,True
aact_hepatitisc_ribonucleo,infectious_disease,0.0382587121170902,0.08965706418643983,0.4088409986194361,-0.1421384658201037,0.746225546038714,True
aact_hepatitisc_ribonucleo,infectious_disease,-0.4307829160924542,0.21436132124274734,0.29905613924494895,-0.13630301754861612,0.7447391563684375,True
aact_hepatitisc_ribonucleo,infectious_disease,1.3937663759585917,0.07298588484808981,0.35682970802409275,-0.5526073470821362,0.7412856955730545,True
aact_hepatitisc_ribonucleo,infectious_disease,0.9501122803496656,0.058561352587979475,0.351767969194,-0.42218010494165537,0.733619086165514,True
aact_spondylart_secukinuma,clinical_medicine,1.175573329804238,1.1901046020490746,0.5491534006632822,1.0081908648986804,0.7133130159165416,True
aact_spondylart_secukinuma,clinical_medicine,2.2669579153508947,1.1462490019785594,0.49258113516162216,1.1178252479907065,0.7164643617409135,True
aact_spondylart_secukinuma,clinical_medicine,1.5496879080283263,1.1506492112812639,0.5398738822937966,0.9956353698830703,0.7135783010950256,True
aact_spondylart_secukinuma,clinical_medicine,1.7101878155342434,1.113131906043483,0.5207530056688626,0.844705033950495,0.7119885332999951,True
aact_spondylart_secukinuma,clinical_medicine,1.5216989981260935,1.097501468767904,0.561391182780253,0.7815339688332092,0.7136760130899535,True
