cell,tau,selection,n,ncontrast,reps,nscored,dMCIW0,dMCIW0_lo,dMCIW0_hi,MCIW0_robust,dMCIW,dMCIW_lo,dMCIW_hi,MCIW_robust,mciw0_auto,mciw0_DL,bias_auto,bias_DL,rawcov_auto,rawcov_DL,covunif_auto,covunif_DL,spearman_auto,spearman_DL,top1_auto,top1_DL,secs,d_rawcov
t30_none_n6,0.3,none,6,5,600,600,0.013132898823248307,0.005156150098885536,0.024998215988371382,False,0.018229326329289697,0.007264079286274414,0.02806966798177372,False,0.2671321124707719,0.2594585347439722,0.0019621269402492333,0.0019185400773397445,0.943,0.9533333333333334,0.011666666666666648,0.005333333333333368,0.9673333333333333,0.9696190476190477,0.93,0.9416666666666667,135.6,-0.010333333333333417
t30_none_n8,0.3,none,8,7,600,600,0.013360990626494151,0.004930788383123766,0.018351438554672153,False,0.015347517104299713,0.008587015193951327,0.021272063238784222,False,0.24945428253889926,0.23828263022274662,0.001590880417371513,0.001744042204950997,0.9295238095238095,0.9485714285714285,0.020476190476190443,0.005238095238095248,0.976468253968254,0.9782539682539683,0.9333333333333333,0.94,358.7,-0.01904761904761898
t30_none_n10,0.3,none,10,9,600,600,0.006896647636329495,0.002491326225944649,0.01195087533460437,False,0.01003936954936746,0.004196158414425217,0.014235261576437334,False,0.21686989716283972,0.2086082226155584,0.002151999589415396,0.002320643983420787,0.9359259259259258,0.9474074074074075,0.0148148148148148,0.007407407407407406,0.9825252525252525,0.9835555555555555,0.9266666666666666,0.9333333333333333,847.2,-0.011481481481481648
t30_none_n12,0.3,none,12,11,600,600,0.002744917696130139,-0.0008063322010419926,0.0075072149976774805,False,0.0029449325591259234,-0.0010153131489310531,0.007485396945585705,False,0.19725906779459687,0.1937308039498584,0.0020247981777407535,0.0014802715213692397,0.9386363636363637,0.9456060606060605,0.011666666666666624,0.005303030303030295,0.9868065268065269,0.9875058275058276,0.9266666666666666,0.935,1371.0,-0.006969696969696737
t05_strong_n5,0.05,strong,5,4,600,595,0.012978152429223067,-0.016167154596910233,0.05271672120401616,False,0.022230336659975647,-0.0038770097889534393,0.041446901498910595,False,0.5252259920317088,0.5169962875075493,0.04251576543801168,0.06804825174913151,0.9008403361344538,0.8483193277310923,0.04915966386554618,0.10168067226890753,0.9331092436974788,0.9321008403361343,0.907563025210084,0.9042016806722689,66.3,0.05252100840336149
t05_strong_n6,0.05,strong,6,5,600,600,-0.02140498713600064,-0.03815291600909518,0.002994450969539236,False,-0.004360355003250049,-0.021903101632921303,0.01732109242743596,False,0.4030325721579427,0.42875287310212185,0.036063511829744634,0.06357807458937026,0.915,0.8473333333333333,0.03499999999999996,0.1026666666666666,0.9523809523809524,0.9486666666666668,0.905,0.9133333333333333,117.1,0.06766666666666676
t05_strong_n8,0.05,strong,8,7,600,600,-0.03214008830749382,-0.05150609047189419,-0.01867164355177204,True,-0.03168456285149451,-0.04597628314318248,-0.015080353891918965,True,0.35578611657232356,0.383810089138889,0.030312372102419643,0.06557226045512556,0.9247619047619047,0.8150000000000001,0.029047619047619037,0.13499999999999995,0.9676190476190476,0.9613492063492064,0.9033333333333333,0.885,196.7,0.10976190476190462
t05_strong_n10,0.05,strong,10,9,600,600,-0.058682192159617175,-0.06730460794191971,-0.043000744303034966,True,-0.04404925291557982,-0.05590822640722928,-0.03271592946292736,True,0.2903471457559305,0.3499512158717611,0.024292455640376437,0.06297404369206067,0.9261111111111112,0.7692592592592593,0.024259259259259217,0.1807407407407407,0.9776969696969697,0.9715151515151514,0.9266666666666666,0.92,281.8,0.1568518518518519
t05_strong_n12,0.05,strong,12,11,600,600,-0.07307046437626247,-0.08579427992170524,-0.06278306810904312,True,-0.06762622174183605,-0.07654581781852564,-0.05839047238422663,True,0.24839694347396443,0.3185684470059322,0.02171007650265688,0.06171846468188377,0.9409090909090909,0.7506060606060605,0.014242424242424208,0.19939393939393935,0.9838228438228439,0.9774125874125875,0.935,0.9166666666666666,353.5,0.19030303030303042
t10_strong_n5,0.1,strong,5,4,600,595,0.018498452293102763,-0.015849149410386836,0.047573026438845104,False,0.030743766320638022,0.0025163522323596948,0.05550155595714474,False,0.5892251457896133,0.577983489716013,0.0562181238938755,0.08139695671765879,0.8747899159663866,0.8151260504201681,0.07521008403361343,0.1348739495798319,0.9245378151260503,0.9235294117647057,0.8857142857142857,0.8941176470588236,80.8,0.0596638655462185
