strength,rep,method,true_mu,mu_hat,ci_low,ci_high,converged
none,20,adaptshrink,0.045,0.06302963576002693,0.047799538247260895,0.07825973327279297,True
none,21,two_stage_reml,0.045,0.04884015683237876,0.03337132906276887,0.06430898460198865,True
none,21,two_stage_fixed,0.045,0.049707231031510916,0.0390641444122522,0.06035031765076963,True
none,21,one_stage,0.045,0.049707231031510916,0.0390641444122522,0.06035031765076963,True
none,21,trend_pet,0.045,0.1440159433050252,-0.016726546895591055,0.30475843350564147,True
none,21,trend_peese,0.045,0.09670775621308483,0.01644680374355298,0.1769687086826167,True
none,21,adaptshrink,0.045,0.04954288010000653,0.03461467476738526,0.0644710854326278,True
none,22,two_stage_reml,0.045,0.04106005506389434,0.027387503161151263,0.05473260696663741,True
none,22,two_stage_fixed,0.045,0.041483783468062946,0.03129785553550905,0.05166971140061684,True
none,22,one_stage,0.045,0.041483783468062946,0.03129785553550905,0.05166971140061684,True
none,22,trend_pet,0.045,0.13384457427451327,-0.05459341705238285,0.3222825656014094,True
none,22,trend_peese,0.045,0.08412820967101653,-0.006502545860085418,0.17475896520211848,True
none,22,adaptshrink,0.045,0.04139200307686448,0.027382659067630166,0.055401347086098784,True
none,23,two_stage_reml,0.045,0.061141736730257454,0.04542148199008418,0.07686199147043073,True
none,23,two_stage_fixed,0.045,0.06279630786650764,0.052500048834137836,0.07309256689887744,True
none,23,one_stage,0.045,0.06279630786650763,0.05250004883413782,0.07309256689887743,True
none,23,trend_pet,0.045,0.22470148122924327,0.08451647212864402,0.36488649032984255,True
none,23,trend_peese,0.045,0.1440169297046069,0.075376672829732,0.2126571865794818,True
none,23,adaptshrink,0.045,0.06251398133478997,0.04776411356784678,0.07726384910173316,True
none,24,two_stage_reml,0.045,0.0403357734109937,0.02307189643753309,0.05759965038445432,True
none,24,two_stage_fixed,0.045,0.04245985845906272,0.03197379879891128,0.05294591811921416,True
none,24,one_stage,0.045,0.04245985845906272,0.03197379879891128,0.05294591811921416,True
none,24,trend_pet,0.045,0.21285141961511184,0.06586496063555203,0.35983787859467165,True
none,24,trend_peese,0.045,0.11911158323357494,0.04991528493260232,0.18830788153454758,True
none,24,adaptshrink,0.045,0.042144531951216105,0.026836366891909172,0.05745269701052304,True
none,25,two_stage_reml,0.045,0.04323028304073389,0.03208964577078521,0.054370920310682566,True
none,25,two_stage_fixed,0.045,0.04355340777313778,0.033373624539520516,0.05373319100675504,True
none,25,one_stage,0.045,0.04355340777313778,0.033373624539520516,0.05373319100675504,True
none,25,trend_pet,0.045,0.18633625075762905,0.07061964812342834,0.30205285339182975,True
none,25,trend_peese,0.045,0.1134067663868684,0.054258699881203305,0.1725548328925335,True
none,25,adaptshrink,0.045,0.04345845760668357,0.030170787064651965,0.05674612814871517,True
none,26,two_stage_reml,0.045,0.04493508073740073,0.03447739571155827,0.055392765763243194,True
none,26,two_stage_fixed,0.045,0.04493508073740072,0.03447739571155828,0.05539276576324316,True
none,26,one_stage,0.045,0.04493508073740072,0.03447739571155828,0.05539276576324316,True
none,26,trend_pet,0.045,0.11129703342851664,-0.07897834894784962,0.3015724158048829,True
none,26,trend_peese,0.045,0.07584087218356657,-0.018324769054124182,0.17000651342125733,True
none,26,adaptshrink,0.045,0.04493508073740072,0.031680587310370587,0.05818957416443085,True
none,27,two_stage_reml,0.045,0.0432754706104444,0.02683797537027849,0.05971296585061031,True
none,27,two_stage_fixed,0.045,0.04518598902755255,0.03506459811565436,0.05530737993945074,True
none,27,one_stage,0.045,0.045185989027552546,0.03506459811565435,0.05530737993945074,True
none,27,trend_pet,0.045,0.20633833067279786,0.059654574422866785,0.35302208692272896,True
none,27,trend_peese,0.045,0.1294147067251106,0.054548319475915666,0.20428109397430555,True
none,27,adaptshrink,0.045,0.0448942441998713,0.030186426027866323,0.05960206237187628,True
none,28,two_stage_reml,0.045,0.03558564062789813,0.016659299799928678,0.05451198145586758,True
none,28,two_stage_fixed,0.045,0.0402263242872009,0.029387053930029834,0.05106559464437197,True
none,28,one_stage,0.045,0.0402263242872009,0.029387053930029834,0.05106559464437197,True
none,28,trend_pet,0.045,0.24784383695139398,0.14808361088183805,0.3476040630209499,True
none,28,trend_peese,0.045,0.14132873371676224,0.088563296173296,0.1940941712602285,True
none,28,adaptshrink,0.045,0.0396807314358407,0.022778874124091398,0.05658258874759001,True
none,29,two_stage_reml,0.045,0.05346994222934339,0.04268331700559744,0.06425656745308934,True
none,29,two_stage_fixed,0.045,0.05347430141113405,0.04325882562405275,0.06368977719821536,True
none,29,one_stage,0.045,0.05347430141113405,0.04325882562405275,0.06368977719821536,True
none,29,trend_pet,0.045,0.05278739261489251,-0.08712740924607126,0.1927021944758563,True
none,29,trend_peese,0.045,0.05239864221837384,-0.017455668806312233,0.12225295324305992,True
none,29,adaptshrink,0.045,0.05347295177148721,0.04029706553235251,0.06664883801062192,True
none,30,two_stage_reml,0.045,0.038172948333135184,0.023645708090156745,0.052700188576113624,True
